Accession	Sample Name	Organism	Tax ID	Strain	Breed	BioProject id
SAMN02697010	Peer360B	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697011	Peer360K	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697012	Peer360L	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697013	Peer360T	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697014	Peer305	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697015	Peer308	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697016	Peer319	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697017	Peer321	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697018	Peer340	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697019	Peer352	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697020	Peer354	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697021	Peer359	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697022	Peer365	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697023	Peer366	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697024	Peer368	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697025	Peer369	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697026	Peer372	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697027	Peer373	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697028	Peer380	Peromyscus eremicus	42410	not applicable	not applicable	242486
SAMN02697029	Peer382	Peromyscus eremicus	42410	not applicable	not applicable	242486
