*sample_name	*organism	*age	*biomaterial_provider	*sex	*tissue	geo_loc_name	bioproject_id	specimen_voucher	strain	breed
Peer360B	Peromyscus eremicus	adult	MacManes	unknown	brain	"Palm Desert, CALIFORNIA, USA"	242486	Peer360B	not applicable	not applicable
Peer360K	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer360K	not applicable	not applicable
Peer360L	Peromyscus eremicus	adult	MacManes	unknown	liver	"Palm Desert, CALIFORNIA, USA"	242486	Peer360L	not applicable	not applicable
Peer360T	Peromyscus eremicus	adult	MacManes	unknown	testes	"Palm Desert, CALIFORNIA, USA"	242486	Peer360T	not applicable	not applicable
Peer305	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer305	not applicable	not applicable
Peer308	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer308	not applicable	not applicable
Peer319	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer319	not applicable	not applicable
Peer321	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer321	not applicable	not applicable
Peer340	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer340	not applicable	not applicable
Peer352	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer352	not applicable	not applicable
Peer354	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer354	not applicable	not applicable
Peer359	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer359	not applicable	not applicable
Peer365	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer365	not applicable	not applicable
Peer366	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer366	not applicable	not applicable
Peer368	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer368	not applicable	not applicable
Peer369	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer369	not applicable	not applicable
Peer372	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer372	not applicable	not applicable
Peer373	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer373	not applicable	not applicable
Peer380	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer380	not applicable	not applicable
Peer382	Peromyscus eremicus	adult	MacManes	unknown	kidney	"Palm Desert, CALIFORNIA, USA"	242486	Peer382	not applicable	not applicable
