iter	thetaS	mu	kappa	phi	moveType	accepted	likelihood	alpha	nblocks	nrblocks	param0	param1	omega0	rho0
0	0.0995808	0.3	8.8	0	1	1	-6163.77	0	1	1	2.96439e-323	2.96439e-323	1	0.13
10	0.0369382	0.111281	8.8	0	6	1	-6094.49	1.79273	1	1	0.111281	0.899634	1	0.899634
20	0.0369559	0.111334	8.8	0	8	1	-6083.4	0.851548	1	1	0	2.32929	0.592362	2.32929
30	0.0212662	0.111334	4.57092	0	8	1	-6071.63	0.447181	1	1	0	7.03511	0.592362	7.03511
40	0.00784003	0.0428313	4.33181	0	7	1	-6061.86	-0.653103	1	1	4.33181	0.614791	0.614791	2.13196
50	0.0018773	0.010256	4.33181	0	6	1	-6059.42	-0.0343358	1	1	0.010256	1.03329	1.03329	5.3625
60	0.00478481	0.010256	12.8393	0	8	1	-6060.6	0.435159	1	1	0	8.80532	0.792816	8.80532
70	0.0038039	0.010256	9.96914	0	2	1	-6060.45	-1.07799	1	1	0	0.516426	0.516426	8.04145
80	0.00246844	0.00392238	17.7245	0	2	0	-6062.44	-2.10606	1	1	0	0.267842	0.516426	8.04145
90	0.00222845	0.001962	32.9238	0	8	1	-6060.27	0.988345	1	1	0	56.7848	1.29527	56.7848
100	0.00424956	0.00319352	38.7721	0	6	1	-6061.21	-0.144948	1	1	0.00319352	1.07495	1.07495	85.7773
110	0.00424956	0.00319352	38.7721	0	7	0	-6066.56	-4.48647	1	1	94.5324	1.03413	1.03413	96.1462
120	0.00469115	0.00658925	20.2038	0	2	1	-6060.98	0.674008	1	1	0	1.04309	1.04309	36.9856
130	0.00132195	0.00407564	8.5725	0	8	1	-6059.92	0.620545	1	1	0	156.113	1.04309	156.113
140	0.00192063	0.00481988	10.797	0	8	0	-6059.71	-0.58439	1	1	0	122.299	1.04309	219.393
150	0.00606543	0.00481988	36.6035	0	7	0	-6072.54	-8.73116	1	1	87.0983	3.03685	1.30003	482.511
160	0.0061754	0.00481988	37.2882	0	7	0	-6065.64	-1.70906	1	1	46.6561	1.52755	1.52755	482.511
170	0.00483282	0.00481988	28.929	0	8	1	-6061.34	0.417141	1	1	0	1901.46	1.06654	1901.46
180	0.0113098	0.00693103	47.8072	0	7	1	-6064.53	-2.03225	1	1	47.8072	0.525099	0.525099	1578.45
