Chr	Tajima
Transcript_1	-1.704798
Transcript_2	-0.813977
Transcript_3	0.772469
Transcript_4	-0.163112
Transcript_5	-0.248568
Transcript_6	-0.748670
Transcript_7	-0.401910
Transcript_8	-1.415624
Transcript_9	0.201861
Transcript_10	0.472194
Transcript_11	-0.591179
Transcript_12	0.140080
Transcript_13	-0.807544
Transcript_14	-0.105722
Transcript_15	-0.754647
Transcript_16	-0.780361
Transcript_17	-1.493805
Transcript_18	-1.172665
Transcript_19	-0.715013
Transcript_20	-0.741565
Transcript_21	-0.317824
Transcript_22	-0.053931
Transcript_23	0.151786
Transcript_24	-0.308728
Transcript_25	-0.529742
Transcript_26	-0.544045
Transcript_27	-0.229237
Transcript_28	-0.408206
Transcript_29	-0.555142
Transcript_30	-0.287477
Transcript_31	-0.718551
Transcript_32	-0.742704
Transcript_33	-0.494172
Transcript_34	-0.254592
Transcript_35	-0.209038
Transcript_36	-0.554382
Transcript_37	-0.741978
Transcript_39	-1.036830
Transcript_40	-0.411689
Transcript_41	-0.673320
Transcript_42	-0.346849
Transcript_43	-0.479696
Transcript_44	-0.899460
Transcript_45	-1.429544
Transcript_46	0.863801
Transcript_47	1.311024
Transcript_49	-0.154191
Transcript_50	0.704756
Transcript_51	-0.830766
Transcript_52	-0.753199
Transcript_54	-0.858048
Transcript_55	-1.794760
Transcript_56	-0.862975
Transcript_57	-0.805269
Transcript_58	-0.513526
Transcript_59	-0.068337
Transcript_60	0.301180
Transcript_61	-0.504104
Transcript_62	-1.411602
Transcript_63	-0.505001
Transcript_64	-0.786886
Transcript_65	-0.444936
Transcript_66	-0.697423
Transcript_67	-1.512779
Transcript_68	-0.466818
Transcript_71	-0.464636
Transcript_72	-0.458762
Transcript_73	-1.278599
Transcript_74	-0.647205
Transcript_75	-0.884673
Transcript_76	-0.933767
Transcript_77	-0.615335
Transcript_78	-0.507485
Transcript_80	-0.576914
Transcript_81	-0.406314
Transcript_82	-0.235162
Transcript_83	-0.615925
Transcript_84	-0.183142
Transcript_85	-0.803784
Transcript_86	-1.740313
Transcript_87	-0.876601
Transcript_88	-0.442247
Transcript_89	0.813827
Transcript_90	0.226693
Transcript_91	-0.289571
Transcript_92	-0.418452
Transcript_93	-0.782200
Transcript_94	-1.349351
Transcript_95	-0.308566
Transcript_96	-0.882570
Transcript_97	-1.598303
Transcript_98	-0.970038
Transcript_99	-0.692753
Transcript_100	-0.245430
Transcript_101	-0.466676
Transcript_102	-0.894511
Transcript_103	-0.610901
Transcript_104	-1.011497
Transcript_105	0.329002
Transcript_106	-0.205345
Transcript_107	0.444917
Transcript_108	-0.390545
Transcript_109	-1.235053
Transcript_110	-0.461967
Transcript_111	-0.139767
Transcript_112	-0.550706
Transcript_113	-0.267340
Transcript_114	-0.477626
Transcript_115	-0.879408
Transcript_116	-0.522985
Transcript_117	-0.740036
Transcript_118	-0.603542
Transcript_119	-0.494736
Transcript_120	-0.639896
Transcript_121	-0.219380
Transcript_122	-0.841191
Transcript_123	-0.929099
Transcript_124	-1.681673
Transcript_125	-1.292438
Transcript_126	-0.783932
Transcript_127	-1.394350
Transcript_128	-0.473586
Transcript_129	0.331717
Transcript_130	-0.472778
Transcript_131	-0.479354
Transcript_132	-0.032882
Transcript_133	-0.587942
Transcript_134	-0.005163
Transcript_136	-1.566711
Transcript_137	-1.008591
Transcript_138	-0.874284
Transcript_139	-0.460729
Transcript_140	-0.843180
Transcript_141	0.489438
Transcript_142	0.479144
Transcript_143	-0.903224
Transcript_144	-0.777831
Transcript_145	-1.061733
Transcript_146	0.032631
Transcript_147	-0.718973
Transcript_149	-0.375573
Transcript_150	-0.221632
Transcript_151	-0.301798
Transcript_152	-0.825417
Transcript_153	-0.553747
Transcript_154	-0.321302
Transcript_155	-0.677744
Transcript_156	-0.424011
Transcript_158	-0.822232
Transcript_159	-1.099633
Transcript_160	-0.987779
Transcript_161	-0.894066
Transcript_162	-0.347601
Transcript_163	0.722084
Transcript_164	-0.946058
Transcript_165	-0.468879
Transcript_166	0.242001
Transcript_167	-1.034007
Transcript_168	-0.441105
Transcript_169	-0.851744
Transcript_170	-0.632261
Transcript_171	-0.195594
Transcript_172	-0.799391
Transcript_173	-1.394364
Transcript_174	0.489032
Transcript_175	-1.109540
Transcript_176	-0.194566
Transcript_177	0.171159
Transcript_179	-0.217216
